idno,country,polnews,internet,trust1,trust2,trust3,polint,trustparl,trustlegal,trustpolice,trustpols,trustparties,trusteuparl,trustun,leftright,satlife,satecon,satgov,equality,happy,unsafe,badhealth,natattach,eurattach,relig,religatt,prayer,becomeold,gender,age,marital,domicile,education,working
9198,uk,15,180,8,8,6,3,,8,8,6,6,,,1,8,1,2,2,7,3,2,8,6,0,6,7,65,2,30,6,2,12,0
9234,uk,150,,5,9,2,1,0,0,3,0,0,0,0,0,8,1,1,1,10,3,3,10,0,10,7,7,70,1,61,4,3,12,0
9281,uk,5,300,2,2,1,4,0,3,3,4,0,,,4,0,0,0,1,3,1,5,,0,0,7,7,65,1,48,,3,12,0
9291,uk,90,270,5,5,5,2,5,2,1,2,4,0,0,8,5,4,1,3,5,2,2,10,0,5,2,2,60,1,36,6,4,14,0
9311,uk,5,360,7,3,8,3,5,7,8,4,1,4,5,,7,5,3,1,9,2,1,10,8,7,5,3,70,2,62,5,3,17,1
9345,uk,30,540,7,7,6,3,6,8,9,6,5,5,8,4,8,6,6,2,8,1,1,8,5,0,7,7,65,1,40,6,3,18,1
9361,uk,120,120,3,6,7,2,4,4,5,3,3,2,,7,8,6,5,3,7,2,1,7,3,4,6,6,65,2,51,,3,10,1
9374,uk,5,240,5,7,8,3,7,7,8,6,7,6,7,4,8,7,7,2,8,2,2,6,8,0,7,7,65,1,26,6,3,13,1
9410,uk,40,180,4,5,5,2,1,4,6,5,2,2,7,2,5,1,1,1,6,2,2,4,4,0,6,7,70,2,46,4,4,11,0
9433,uk,90,120,5,3,1,2,7,7,5,3,4,0,1,8,6,4,2,4,8,1,3,10,0,1,7,7,65,1,67,,4,20,0
9439,uk,15,240,9,8,5,2,2,8,9,3,2,2,5,3,4,3,0,1,3,1,2,8,6,0,7,6,72,1,48,1,3,17,1
9451,uk,15,240,1,5,5,3,5,7,8,3,3,5,5,2,7,3,3,2,8,2,3,7,5,2,3,7,70,2,33,,4,18,1
9465,uk,180,60,5,5,7,2,0,0,7,0,1,0,0,4,7,4,0,2,7,2,1,8,5,6,7,6,70,2,53,4,4,11,1
9472,uk,15,120,4,6,5,4,1,6,6,4,2,,,5,2,0,0,2,6,3,4,6,0,4,7,6,60,2,52,6,4,11,0
9537,uk,60,120,3,4,4,3,3,4,5,2,2,1,3,,6,2,1,2,6,3,2,6,1,4,7,7,60,2,69,5,2,11,0
9543,uk,60,60,5,5,8,2,6,8,9,4,4,5,5,6,6,4,5,4,9,2,2,5,5,5,7,7,70,1,60,6,3,11,1
9547,uk,60,,7,7,7,2,0,5,7,0,2,5,5,3,4,6,1,2,4,4,3,8,3,5,7,7,65,2,64,5,3,11,0
9572,uk,20,300,4,4,5,2,6,8,7,6,6,7,8,4,4,5,4,2,4,2,3,8,6,5,3,5,60,1,17,6,1,12,0
9605,uk,60,1080,7,9,8,2,7,7,9,5,2,0,6,5,8,6,5,3,8,2,3,8,2,0,7,7,70,1,78,,2,13,0
9614,uk,60,,5,3,5,3,0,8,8,0,0,0,5,2,9,4,0,1,9,4,3,8,3,2,7,7,80,2,61,,3,10,0
9617,uk,30,60,9,8,7,2,7,7,8,5,4,6,7,3,9,6,6,2,10,2,1,8,2,0,7,7,70,2,43,,2,16,1
9621,uk,30,,5,8,5,2,10,5,5,8,8,7,8,,8,8,8,3,8,1,2,8,7,8,3,1,80,2,76,6,2,7,0
9688,uk,60,180,7,5,8,2,4,7,3,4,7,2,5,8,10,5,4,1,10,2,3,10,7,10,2,1,80,2,86,6,3,11,0
9723,uk,30,,8,7,7,2,3,8,8,2,2,1,8,5,9,5,5,2,9,1,1,8,8,4,7,7,80,1,44,6,2,13,1
9726,uk,60,120,4,6,5,2,1,6,7,1,1,0,1,7,9,4,2,1,9,2,4,9,9,0,7,7,65,1,44,1,3,13,0
9777,uk,0,240,9,5,3,4,5,5,10,0,0,0,5,5,8,5,8,3,9,4,2,10,0,7,7,2,69,1,72,4,3,12,0
9818,uk,30,150,7,7,7,3,2,2,0,0,0,2,2,4,7,2,1,3,7,2,3,7,2,0,6,7,60,1,49,4,1,12,1
9872,uk,120,120,5,6,6,2,4,4,3,3,4,0,4,8,8,6,5,4,8,2,1,6,2,2,7,7,75,1,61,,3,17,0
9975,uk,60,120,7,9,2,1,4,6,8,4,4,6,8,4,10,3,4,1,9,1,2,10,8,3,5,7,0,2,35,,5,19,1
9977,uk,60,60,4,8,7,2,4,4,6,3,5,3,5,4,8,5,5,2,8,1,2,6,4,1,6,7,65,1,52,,4,14,1
9986,uk,0,60,0,2,4,4,0,4,6,1,1,0,0,5,3,4,2,4,3,1,3,3,0,2,7,7,56,1,34,6,2,13,1
9995,uk,60,480,5,5,7,3,0,2,5,0,0,2,5,8,8,1,0,4,9,2,2,7,9,0,7,7,65,1,32,6,2,15,1
10021,uk,20,180,7,8,6,2,0,,,0,0,0,0,5,9,0,0,1,9,2,1,0,6,8,6,1,70,2,49,6,3,16,1
10022,uk,953,,10,3,9,1,0,8,9,1,4,1,5,6,10,2,0,2,10,2,2,9,5,2,7,7,60,2,72,,1,12,1
10049,uk,0,360,5,5,8,4,,4,8,0,0,0,0,5,10,0,2,1,8,4,3,0,0,0,7,7,60,2,25,6,1,12,1
10092,uk,105,240,7,5,7,2,7,8,8,5,6,6,6,6,8,7,5,3,8,2,2,8,7,7,3,1,65,1,36,6,2,18,1
10138,uk,60,20,7,7,7,1,9,6,6,3,7,7,7,3,8,3,2,1,9,1,1,8,8,2,5,7,74,2,70,,2,22,1
10147,uk,1200,60,7,5,8,2,5,7,7,4,4,5,5,3,6,4,3,1,7,3,4,4,7,6,7,2,80,2,57,6,2,13,0
10196,uk,0,,5,5,5,4,2,5,1,2,2,2,1,,8,6,9,3,8,4,2,8,1,8,3,3,8,2,33,6,2,10,0
10254,uk,10,600,3,5,4,2,3,2,5,1,1,0,0,7,7,7,1,1,7,2,2,10,0,5,6,4,75,2,35,,3,12,1
10315,uk,10,120,6,8,6,4,5,7,6,2,2,5,8,5,10,8,7,5,10,2,1,8,3,5,7,1,75,2,70,1,3,12,0
10382,uk,180,60,7,8,8,2,6,7,7,7,5,6,8,4,9,4,3,2,9,2,3,9,8,5,6,3,75,2,62,,4,22,0
10401,uk,30,6,8,8,8,2,8,7,8,7,7,7,7,6,8,8,7,3,8,2,1,7,3,0,7,7,75,1,55,,3,13,1
10402,uk,45,480,9,10,8,2,9,8,10,6,7,9,9,3,9,7,5,2,9,1,2,5,5,3,6,6,65,2,24,6,3,19,1
10437,uk,60,600,6,5,7,1,6,8,8,2,2,0,5,6,9,6,0,5,8,1,1,5,0,0,7,7,55,1,26,6,1,21,1
10461,uk,0,660,5,5,8,4,2,2,2,0,2,2,2,,10,7,5,2,10,3,1,8,4,0,7,6,80,2,49,6,4,13,1
10468,uk,30,240,7,7,5,3,3,2,2,1,1,0,4,4,10,7,0,3,10,2,3,3,5,0,3,1,90,2,72,1,3,11,0
10515,uk,120,180,6,0,10,3,5,8,9,0,5,3,5,5,0,3,5,2,5,3,4,8,5,4,7,6,80,1,80,5,3,19,0
10541,uk,60,60,10,10,10,4,5,5,10,0,0,0,,,8,2,0,3,8,4,2,0,0,0,7,6,85,2,49,1,3,11,1
10607,uk,360,240,,,,4,0,0,0,0,0,0,0,5,6,,,3,8,2,2,5,5,5,3,3,70,1,42,6,3,14,1
10652,uk,180,180,0,6,5,1,0,3,5,0,0,0,1,5,5,0,0,1,7,1,2,10,0,0,7,7,67,1,59,2,4,14,1
10671,uk,60,90,0,0,1,3,0,2,2,0,0,2,5,5,3,0,0,3,4,2,2,1,5,3,6,6,70,2,62,,3,16,0
10780,uk,60,120,8,7,7,3,4,4,4,2,2,4,,3,8,2,2,2,8,2,1,2,2,6,3,6,70,1,61,,3,18,1
10865,uk,30,90,4,6,3,2,3,5,7,2,0,0,1,7,3,4,2,2,4,2,2,10,0,2,7,6,80,2,56,,2,11,1
10889,uk,0,120,0,8,8,4,0,0,0,0,0,0,0,,10,0,0,4,5,2,2,0,0,0,7,1,70,1,53,4,1,12,1
10934,uk,90,240,5,7,7,1,6,8,8,6,6,6,8,6,9,7,6,3,8,2,1,7,6,9,3,1,70,2,56,6,4,19,1
10940,uk,600,60,5,3,3,2,6,2,2,3,2,3,3,3,6,3,3,2,6,4,2,2,2,2,7,7,65,2,26,6,3,12,1
10995,uk,0,,0,1,5,4,0,0,1,0,0,0,0,5,5,0,0,2,9,4,2,7,0,8,6,1,0,2,,5,3,10,0
11029,uk,0,120,1,3,3,4,0,2,4,0,0,0,1,1,6,1,0,1,7,3,1,7,3,3,7,2,70,2,60,4,4,12,1
11053,uk,30,120,3,3,3,3,3,3,3,3,3,3,3,6,6,3,3,1,6,1,1,3,3,0,7,7,65,1,47,1,2,11,1
11092,uk,90,60,4,8,7,2,5,8,3,5,6,5,6,6,7,6,6,4,8,2,1,8,6,7,4,3,67,1,43,4,4,18,1
11096,uk,15,60,5,7,4,2,4,9,10,3,3,2,4,7,7,7,4,2,7,2,2,9,4,2,7,7,60,1,51,4,3,11,1
11115,uk,1,180,2,4,6,3,5,5,7,5,4,4,5,7,5,3,3,2,4,3,3,6,4,8,2,3,70,2,15,6,3,11,0
11117,uk,0,360,5,8,8,4,0,5,8,0,0,2,4,5,9,4,2,1,8,1,2,9,5,7,5,7,65,1,48,,3,11,1
11125,uk,30,90,7,3,8,2,8,10,9,7,7,6,0,9,10,3,3,1,9,2,3,7,4,7,4,1,65,1,51,,2,16,1
11133,uk,60,150,7,7,4,2,3,7,8,1,1,1,6,3,9,5,3,2,9,1,2,10,8,0,6,7,76,1,36,,3,21,1
11210,uk,20,120,9,10,9,2,8,10,9,8,7,8,8,7,8,5,7,2,8,1,1,9,9,1,7,7,80,2,55,6,3,13,1
11216,uk,90,180,3,4,5,2,0,5,3,0,1,0,5,5,8,2,0,1,9,2,2,8,0,4,7,2,0,2,50,,3,15,1
11238,uk,60,,7,7,7,4,5,7,7,5,5,5,7,7,8,6,7,3,7,3,2,7,4,4,5,5,75,2,65,5,2,11,0
11300,uk,0,300,8,4,2,4,2,7,8,1,1,0,4,,8,3,0,4,8,2,3,3,3,0,7,7,80,1,51,,4,17,1
11359,uk,120,,4,5,2,2,4,1,4,4,2,0,10,5,9,9,8,1,8,1,1,10,2,1,7,7,72,1,67,6,4,11,0
11360,uk,60,45,4,7,6,2,7,8,7,3,5,3,6,7,9,7,6,4,9,1,2,9,6,7,5,4,70,1,65,,3,17,1
11440,uk,60,,2,3,3,3,1,2,2,1,1,0,3,4,7,3,1,2,8,1,2,6,3,4,7,7,60,1,65,4,4,16,0
11530,uk,0,60,0,5,9,2,10,10,10,9,9,7,,7,8,9,8,4,9,2,2,5,10,8,5,3,55,1,27,6,2,11,1
11540,uk,10,120,5,7,8,3,3,5,7,2,2,0,5,5,6,6,2,4,7,1,3,4,1,4,7,7,65,1,56,1,3,11,1
11550,uk,60,90,8,5,8,2,1,1,2,0,0,0,2,3,2,1,0,1,3,2,4,0,2,9,7,1,70,2,62,6,2,18,0
11587,uk,0,,4,5,7,4,5,5,5,3,3,,,8,8,,,8,10,2,1,5,0,5,3,2,65,2,,5,5,8,0
11591,uk,30,60,5,7,5,2,5,7,7,3,3,0,7,7,9,7,3,1,10,1,1,10,0,0,7,7,60,1,61,,3,13,1
11624,uk,0,,3,2,4,4,0,0,0,0,0,0,0,4,1,3,0,2,2,3,3,0,0,8,6,1,70,2,83,4,3,13,0
11657,uk,60,240,7,5,7,3,8,8,8,5,5,5,7,5,8,6,7,1,8,1,2,9,4,0,7,7,65,1,38,,3,14,1
11692,uk,15,30,5,7,8,2,3,4,7,2,2,0,3,5,8,7,5,2,5,1,2,4,3,0,7,7,75,1,56,,3,11,1
11739,uk,30,,7,7,8,2,5,7,8,4,4,5,5,5,10,6,4,1,9,1,2,8,7,6,5,7,60,2,70,4,1,12,0
11812,uk,120,120,0,5,5,1,0,9,8,0,0,0,8,5,9,6,0,1,10,1,1,10,1,5,7,1,60,1,76,5,2,14,0
11817,uk,180,420,6,5,5,1,3,8,9,2,2,7,2,7,7,4,2,3,5,3,1,7,9,0,7,7,55,1,30,6,1,18,1
11896,uk,60,600,8,8,8,2,6,7,7,3,1,1,8,5,8,7,5,3,8,3,2,8,5,7,1,1,60,1,37,,1,16,1
11914,uk,120,180,7,7,6,3,8,6,3,4,4,4,5,,8,9,8,2,7,3,2,8,4,3,5,5,65,1,54,,1,18,1
11920,uk,1080,,7,7,9,1,6,6,4,7,1,0,2,5,8,9,4,3,8,1,3,10,6,8,2,1,70,1,83,5,2,13,0
11941,uk,60,180,5,0,9,2,5,6,10,4,6,7,7,4,10,8,8,3,10,2,2,5,10,5,6,1,80,2,41,,1,18,1
11998,uk,60,180,5,7,8,3,5,6,8,6,4,5,6,5,8,5,6,2,9,3,2,8,5,6,6,2,65,2,48,1,2,21,1
12033,uk,10,600,4,4,5,3,0,1,0,0,0,0,0,6,4,7,0,4,5,2,2,8,0,4,7,2,75,1,62,1,3,21,1
12037,uk,0,,8,8,8,4,6,10,10,,,,,,5,,2,2,5,4,2,8,0,10,5,1,70,2,70,5,4,10,0
12038,uk,10,,6,8,8,3,5,6,8,4,3,5,5,5,7,6,3,2,8,4,2,10,6,4,7,7,72,2,,5,1,10,0
12069,uk,40,480,6,5,4,1,6,7,7,6,5,3,8,5,7,6,6,1,4,1,3,9,1,3,6,4,80,1,36,4,3,13,0
12073,uk,0,480,3,2,5,4,3,0,0,2,2,4,8,5,7,7,5,1,6,1,3,6,6,0,7,7,80,1,30,6,4,9,1
12102,uk,15,30,7,7,8,2,5,6,6,4,5,6,7,0,8,1,0,1,8,2,2,8,5,0,7,7,75,2,68,1,3,15,0
12127,uk,60,60,2,4,4,1,4,2,6,5,2,0,7,7,10,8,5,3,9,2,1,10,1,3,7,6,70,1,72,,2,8,0
12152,uk,60,120,6,6,7,2,6,4,8,4,4,4,7,4,8,5,4,2,8,1,2,7,4,3,5,7,75,1,44,6,3,15,1
12166,uk,180,180,7,6,8,2,8,8,7,7,5,5,,3,7,6,5,2,8,1,1,10,6,0,7,7,65,1,50,,2,13,1
12201,uk,0,180,7,5,6,3,4,7,8,1,7,5,6,3,10,9,3,2,10,1,2,6,10,3,7,7,70,2,34,6,1,19,1
12232,uk,180,540,6,6,4,2,4,8,9,5,5,5,6,3,8,4,5,3,7,3,2,8,7,0,7,6,75,2,25,6,2,22,1
12264,uk,65,120,10,9,9,1,,,9,,6,,,4,5,1,1,1,5,1,3,6,,9,6,2,0,2,49,6,4,19,0
12367,uk,5,240,5,5,5,4,1,1,1,1,1,0,1,5,5,2,5,2,5,2,3,5,5,0,7,7,0,1,58,1,3,12,1
12373,uk,180,,4,5,6,2,4,8,10,2,3,0,1,9,6,7,3,4,8,4,2,9,5,5,7,2,70,2,66,,3,9,0
12387,uk,30,,6,8,8,3,6,6,8,7,7,,8,5,9,6,6,2,10,2,3,10,7,8,6,1,75,2,89,5,4,10,0
12457,uk,0,180,5,5,6,3,0,2,2,0,0,,,0,9,5,0,1,9,2,3,9,2,3,6,7,65,2,33,,3,13,1
12520,uk,60,300,7,8,8,2,6,8,8,6,6,7,4,3,8,8,5,2,8,2,2,6,6,1,7,7,70,1,41,,3,17,1
12537,uk,60,120,8,8,6,2,7,8,9,4,4,3,3,6,8,3,2,2,8,2,1,8,4,3,7,7,65,2,63,,3,18,0
12541,uk,5,,5,5,7,4,7,8,7,0,0,0,4,3,0,5,5,2,9,2,4,4,4,5,7,7,70,1,71,4,1,13,0
12573,uk,20,,7,8,9,2,7,9,8,6,6,6,8,7,9,5,7,3,8,1,2,7,7,5,6,6,75,2,71,6,4,12,1
12575,uk,0,,2,4,5,4,7,7,9,7,6,6,9,7,6,7,6,3,7,2,2,6,5,0,7,7,75,2,68,5,3,12,0
12582,uk,30,30,6,5,5,2,3,2,2,3,2,1,4,6,9,7,6,2,9,1,1,8,6,1,7,7,70,2,62,,5,15,1
12584,uk,15,120,3,5,7,3,4,7,7,3,2,0,4,2,8,7,7,3,8,1,1,7,0,9,3,1,75,1,69,5,3,13,1
12616,uk,60,720,4,4,4,2,5,5,5,4,5,5,6,4,4,4,2,1,5,2,1,4,4,6,6,4,70,2,38,,2,15,1
12624,uk,30,,0,1,0,3,1,3,0,0,0,0,0,8,0,5,2,4,1,3,4,9,0,0,7,7,60,1,72,5,3,16,0
12647,uk,120,185,5,5,4,2,3,4,6,3,3,0,5,8,6,5,3,3,5,1,1,10,0,4,6,7,60,1,53,6,3,12,1
12728,uk,120,240,7,7,7,1,5,4,6,3,5,5,7,0,5,3,2,1,8,2,2,9,9,0,7,7,70,2,71,,3,17,0
12738,uk,30,,6,6,6,2,0,3,5,0,0,0,2,,7,6,0,2,7,2,3,8,2,7,7,2,75,2,75,5,3,11,0
12781,uk,0,30,4,5,5,4,0,7,10,0,0,0,,,9,1,1,1,9,2,2,8,3,1,7,6,70,2,57,,4,11,1
12954,uk,90,360,8,8,7,1,5,9,9,3,3,6,8,2,6,4,1,1,8,2,2,2,3,0,7,7,65,1,24,6,3,17,0
12980,uk,120,60,7,8,8,2,6,5,7,4,4,6,7,5,7,5,4,2,7,1,1,9,6,6,3,2,80,2,71,5,4,12,1
13067,uk,60,30,8,9,8,3,5,7,9,4,5,7,9,4,8,3,3,2,8,1,1,8,5,7,3,3,80,2,74,,3,16,0
13079,uk,180,,7,7,7,3,6,8,8,5,2,0,,5,6,4,6,2,8,3,4,10,4,7,5,1,70,2,81,,3,11,0
13142,uk,90,120,5,8,7,2,5,7,8,5,5,5,8,5,8,4,4,2,8,2,3,8,7,3,5,7,65,1,76,,2,14,0
13149,uk,30,60,3,4,4,3,1,5,6,1,3,1,1,5,4,3,2,2,4,2,2,4,2,1,7,4,75,1,43,6,3,13,1
13150,uk,60,120,7,7,8,2,6,8,8,4,3,5,7,3,8,4,4,2,8,2,1,7,6,3,6,7,80,2,60,6,1,18,1
13157,uk,50,,3,4,2,1,4,3,3,4,4,1,6,7,8,7,4,1,6,4,4,10,0,7,7,1,75,2,74,4,2,11,0
13244,uk,30,240,6,5,7,4,5,5,8,5,5,5,4,4,8,3,3,2,7,3,3,9,8,5,6,1,70,2,86,5,2,9,0
13281,uk,120,240,7,7,3,2,3,1,3,3,1,1,3,4,8,1,2,1,8,1,1,5,4,7,6,4,75,2,51,4,3,17,1
13297,uk,4,240,5,5,8,3,7,8,8,6,6,8,7,7,8,7,7,3,9,3,1,8,7,6,7,1,80,2,33,,1,21,1
13325,uk,60,,5,7,7,2,5,3,4,5,5,,,,10,5,5,1,10,3,2,10,5,0,7,7,68,1,73,5,2,9,0
13345,uk,60,600,4,6,5,3,5,6,9,4,7,5,8,5,7,6,3,2,9,2,1,10,5,0,3,7,60,1,23,6,3,11,0
13386,uk,0,60,6,7,4,4,4,5,5,2,2,1,6,5,5,3,3,2,5,3,2,8,2,0,7,7,70,1,60,6,3,11,1
13407,uk,0,120,2,3,3,3,0,3,5,0,0,0,0,9,5,3,0,3,2,2,3,0,0,1,7,7,80,2,52,4,2,20,0
13430,uk,60,185,8,1,2,4,8,5,10,5,3,4,10,4,7,6,0,1,10,2,2,10,7,8,5,2,45,2,38,6,2,18,1
13454,uk,60,120,7,8,8,2,8,9,9,8,8,8,9,1,9,7,6,2,9,1,1,7,7,6,7,7,70,2,45,,4,19,1
13458,uk,0,,0,5,10,4,0,0,10,0,1,0,5,,10,4,6,3,10,7,3,8,0,10,6,1,70,2,90,5,3,10,0
13476,uk,60,60,7,8,6,2,7,8,8,6,7,7,7,5,7,7,4,1,7,2,2,8,6,1,7,7,75,1,49,,4,18,1
13512,uk,30,480,8,7,9,3,8,9,10,8,7,,,5,8,8,8,3,9,2,2,7,4,0,4,1,50,2,32,,2,17,1
13524,uk,20,60,5,5,3,3,3,4,4,2,2,2,3,,7,3,5,2,8,2,2,10,7,2,6,7,75,2,67,4,4,11,0
13594,uk,120,,7,7,8,2,7,8,7,6,7,7,8,8,6,6,7,3,8,2,2,9,8,8,3,1,70,2,76,5,4,15,0
13599,uk,5,480,8,10,2,1,0,5,5,0,0,4,0,,6,0,1,1,1,2,3,8,10,8,7,1,90,2,57,,2,17,1
13611,uk,60,600,3,6,5,3,6,8,10,4,4,6,7,,10,10,7,2,10,1,2,10,6,0,7,6,75,2,33,,4,16,1
13628,uk,60,30,6,6,7,1,4,6,6,6,7,3,6,5,8,7,5,2,7,2,2,10,5,5,6,7,65,1,55,,3,12,1
13757,uk,180,,4,5,3,2,1,6,5,1,1,5,8,4,3,2,2,1,6,2,3,7,4,5,5,7,70,2,57,4,4,18,1
13803,uk,60,180,6,4,7,3,2,6,10,0,1,,4,5,9,6,1,1,8,4,3,10,8,4,7,6,85,2,48,4,3,12,0
13821,uk,120,,1,3,2,2,6,7,7,3,5,6,7,6,9,9,9,2,8,1,1,8,8,7,5,5,60,1,28,6,2,11,1
13898,uk,120,120,8,8,8,3,5,7,8,4,3,3,5,6,9,7,6,4,9,1,2,9,3,2,7,7,72,1,66,,4,16,0
13924,uk,60,30,5,7,7,1,7,7,7,5,7,4,7,7,9,5,6,3,9,3,1,10,3,3,7,7,70,1,72,4,4,12,1
13994,uk,0,300,6,9,7,3,8,8,9,7,8,8,9,7,7,4,6,2,8,3,2,4,6,3,7,7,50,1,15,6,3,11,0
13997,uk,150,540,4,4,5,2,4,6,6,4,4,2,5,4,7,3,2,2,7,2,3,8,5,4,5,4,71,2,44,4,4,27,1
14068,uk,120,120,4,3,6,1,3,2,4,4,3,0,0,8,4,5,5,2,6,2,3,10,5,6,5,1,75,1,82,,3,21,0
14095,uk,15,300,9,6,7,3,1,5,9,1,2,3,5,4,7,6,3,2,8,2,1,8,8,0,7,7,60,2,24,6,3,17,1
14133,uk,60,180,7,8,7,1,9,3,4,4,5,4,7,5,4,4,4,1,4,2,3,9,7,7,4,1,60,1,58,4,3,11,0
14146,uk,60,,7,7,8,2,5,8,7,6,5,1,4,7,8,6,7,4,10,1,2,5,1,1,7,7,80,1,78,,4,10,0
14154,uk,120,180,5,5,4,2,0,0,0,0,0,0,0,7,5,2,3,3,8,2,1,2,2,1,7,7,70,1,48,,2,10,1
14248,uk,0,180,10,0,5,3,0,0,0,0,0,0,0,5,5,0,0,1,5,2,3,5,1,5,7,6,70,2,49,1,3,9,0
14279,uk,30,,3,4,6,4,0,3,6,0,2,0,3,5,10,1,0,2,10,1,2,9,5,0,7,7,0,2,71,4,3,10,0
14285,uk,60,720,2,4,4,2,6,7,6,5,4,5,7,4,8,5,4,3,7,2,2,6,7,0,7,7,70,2,51,6,1,20,1
14336,uk,5,120,6,5,8,3,7,5,10,4,4,5,5,2,10,5,6,2,10,2,1,7,7,0,7,7,75,1,27,6,1,13,1
14350,uk,15,120,7,5,6,2,3,5,7,3,3,3,7,4,6,5,5,2,8,2,3,9,6,9,7,7,75,2,61,4,2,20,1
14383,uk,60,60,7,7,7,3,4,6,8,4,4,3,5,7,7,4,3,3,7,2,2,8,4,1,7,7,75,2,59,5,3,12,1
14397,uk,120,240,4,5,6,3,7,9,9,8,6,8,9,6,9,8,7,2,9,3,2,7,6,2,6,7,75,2,17,6,4,11,0
14416,uk,0,150,8,8,9,3,6,8,8,7,7,7,7,5,10,7,6,1,10,2,2,10,7,6,5,6,80,2,60,1,3,12,1
14417,uk,30,60,0,10,6,3,3,3,3,0,5,0,5,5,10,5,8,2,9,1,2,1,0,0,7,7,70,1,60,,5,12,1
14435,uk,10,10,4,7,7,4,0,3,5,0,4,0,6,5,8,3,0,1,9,2,1,8,3,4,7,7,80,2,49,4,3,13,1
14515,uk,180,60,7,7,5,1,0,7,7,0,3,0,5,3,10,0,0,2,10,1,2,7,7,5,7,7,70,1,72,,3,17,0
14531,uk,65,300,8,8,7,2,5,5,6,2,3,2,6,4,9,6,4,3,9,1,2,5,3,0,7,7,70,1,26,6,3,16,1
14550,uk,60,125,6,5,5,3,,8,9,6,1,,8,5,7,8,,2,8,3,3,7,5,6,7,1,60,2,33,,1,18,0
14624,uk,20,90,7,7,6,2,7,8,9,4,5,4,8,4,7,7,4,3,8,2,2,8,7,2,6,7,60,1,24,6,3,17,1
14650,uk,60,180,5,5,8,2,4,4,6,3,3,4,5,5,6,7,4,2,6,3,2,9,9,7,4,2,70,2,30,6,2,13,1
14656,uk,15,,2,1,7,4,0,0,0,0,2,0,5,5,1,3,4,2,2,3,5,5,5,10,5,1,50,1,53,6,3,12,0
14687,uk,60,180,5,10,5,4,5,5,5,5,5,5,5,5,10,5,5,1,10,3,2,8,8,3,5,6,70,2,28,1,2,12,1
14709,uk,0,,6,8,8,3,3,7,5,8,4,4,5,7,6,4,5,4,8,3,4,8,2,5,6,1,65,2,86,5,4,9,0
14747,uk,30,120,7,7,7,2,8,8,6,6,4,7,7,4,7,4,3,2,8,1,2,7,7,0,7,7,70,2,38,,4,20,1
14787,uk,180,60,6,5,4,4,5,5,10,1,5,0,5,,10,10,10,2,10,2,1,5,5,10,2,1,60,1,23,6,1,16,1
14789,uk,60,,0,0,5,4,0,7,6,0,0,5,6,8,9,8,9,3,8,4,3,8,5,8,7,7,60,2,84,6,3,10,0
14861,uk,60,60,2,4,5,2,8,7,9,5,5,6,7,4,7,4,2,1,7,2,3,6,7,3,5,7,65,1,54,,3,16,1
14869,uk,0,180,7,5,8,3,5,7,9,2,5,5,5,,7,5,5,3,10,2,2,7,0,1,5,7,65,1,54,1,2,11,0
14905,uk,60,480,0,5,4,4,0,6,6,2,3,2,2,5,2,0,2,2,3,3,5,2,2,0,7,7,55,2,37,5,3,16,0
14923,uk,60,120,7,7,6,2,8,8,9,7,5,3,8,6,10,8,7,2,9,2,1,8,3,6,5,4,70,2,47,,5,23,1
14965,uk,60,,0,7,7,2,7,1,7,5,5,2,,5,5,4,5,2,0,4,3,10,8,10,6,1,80,2,64,4,2,14,0
15027,uk,60,300,5,6,4,2,7,8,8,6,6,6,6,3,9,6,6,1,8,3,2,7,5,0,7,7,70,2,19,6,3,14,0
15083,uk,20,240,7,8,8,2,7,8,10,6,6,5,7,5,8,5,3,3,9,1,1,9,7,8,1,1,70,2,37,,5,15,1
15107,uk,30,240,8,7,9,3,5,7,7,5,5,4,5,5,9,6,5,2,9,2,1,8,6,6,5,2,90,2,60,,3,12,1
15137,uk,0,240,5,5,6,4,2,4,9,0,3,4,4,,9,4,3,3,9,2,1,7,3,0,7,7,65,2,48,6,3,10,1
15162,uk,30,720,4,7,3,1,7,10,10,3,4,10,10,6,9,4,8,4,9,1,1,7,10,7,4,1,80,1,34,6,2,19,1
15195,uk,165,45,7,7,5,2,6,7,5,4,3,3,5,5,9,3,4,3,9,2,2,7,1,5,6,6,70,1,75,,3,21,0
15270,uk,120,,5,5,8,3,8,8,9,7,7,5,9,6,8,7,4,2,7,1,3,9,2,5,7,6,75,1,60,6,3,15,1
15349,uk,0,120,5,5,5,4,5,5,5,5,5,4,5,10,7,5,7,3,6,3,2,3,3,0,5,7,55,2,26,6,3,13,1
15375,uk,0,60,5,7,6,4,4,7,6,4,5,5,7,5,8,5,6,1,7,1,2,8,6,2,7,7,75,2,54,6,3,11,1
15423,uk,120,90,7,8,3,1,5,5,4,3,3,0,1,5,6,8,5,4,8,3,3,10,1,5,5,4,75,2,62,,4,11,1
15503,uk,300,,5,5,7,4,2,2,2,2,2,0,,2,3,2,0,2,2,3,4,5,0,5,7,3,65,2,68,5,3,10,0
15543,uk,90,180,2,8,6,1,9,9,9,7,7,9,7,6,9,7,6,2,9,2,1,10,3,0,7,7,70,1,56,1,4,16,1
15570,uk,60,300,7,5,5,2,3,6,6,3,3,1,7,5,6,3,5,2,6,2,2,3,1,2,7,7,65,2,57,6,2,16,1
