idno,country,polnews,internet,trust1,trust2,trust3,polint,trustparl,trustlegal,trustpolice,trustpols,trustparties,trusteuparl,trustun,leftright,satlife,satecon,satgov,equality,happy,unsafe,badhealth,natattach,eurattach,relig,religatt,prayer,becomeold,gender,age,marital,domicile,education,working
42430,es,300,,3,7,8,3,2,2,9,1,1,1,3,9,8,3,4,1,5,4,2,6,6,8,3,1,65,2,90,5,1,8,0
42455,es,180,45,6,6,4,2,4,2,2,3,3,3,5,1,5,3,2,1,8,2,2,3,6,0,7,7,60,1,65,,3,15,0
42480,es,60,180,2,6,4,4,3,6,10,0,0,1,4,3,6,4,7,2,7,2,2,7,6,7,4,2,65,2,38,1,1,10,1
42548,es,90,360,3,5,6,3,5,6,8,0,0,6,6,2,7,4,3,2,7,2,2,7,6,3,5,5,70,1,46,6,4,10,0
42571,es,30,270,5,5,5,3,5,7,7,5,5,5,5,3,8,4,5,1,8,2,2,10,9,0,7,7,65,2,36,6,3,15,1
42604,es,60,,4,9,2,4,7,6,7,5,5,6,7,,9,6,0,2,9,1,1,9,7,7,4,3,70,1,47,4,3,10,1
42634,es,60,,2,9,8,3,3,5,7,3,3,,,3,7,6,5,2,6,1,3,5,5,5,7,4,70,1,71,,4,5,0
42638,es,60,600,7,7,5,3,6,5,8,1,1,4,5,5,8,4,0,2,8,1,2,7,7,2,7,7,65,2,32,6,2,16,1
42644,es,60,90,5,7,6,3,5,3,8,3,3,6,7,3,8,4,3,1,8,1,2,10,10,6,4,1,65,1,39,,1,21,1
42649,es,45,120,7,9,6,2,7,8,9,4,3,5,5,4,9,5,4,1,8,2,3,7,5,5,7,7,75,2,42,6,3,30,1
42670,es,716,,8,7,7,4,10,10,10,4,4,4,,,10,10,5,1,10,1,2,10,0,6,2,1,70,2,86,5,4,8,0
42745,es,30,420,8,9,5,2,6,4,7,5,6,7,7,3,8,7,3,1,8,1,1,5,7,0,7,7,65,2,18,6,4,15,0
42777,es,30,180,9,8,7,4,3,8,9,1,0,2,1,4,7,1,1,2,7,2,2,8,7,7,4,7,80,2,56,,3,12,1
